,Nº de Série do DOF,RegistroEntrada
176,514943,2019-09-25 12:50:00
177,558471,2019-11-02 15:39:00
178,427599,2019-11-02 15:39:00
179,556194,2019-11-02 15:39:00
180,668428,2019-09-25 12:50:00
181,372003,2019-10-28 17:34:00
182,397917,2019-11-02 15:39:00
183,561419,2019-09-27 18:12:00
184,658008,2019-11-02 15:39:00
185,675175,2019-09-27 11:42:00
186,284419,2019-09-25 12:50:00
187,528729,2019-10-28 17:34:00
188,554003,2019-10-28 17:34:00
189,571511,2019-09-27 11:42:00
190,503606,2019-09-27 18:12:00
191,516132,2019-10-28 17:34:00
192,470523,2019-10-28 17:34:00
193,397936,2019-09-27 11:42:00
194,338257,2019-09-27 18:12:00
195,494093,2019-11-02 15:39:00
196,616899,2019-09-27 18:12:00
197,614352,2019-09-27 18:12:00
198,479767,2019-11-02 15:39:00
199,533954,2019-11-02 15:39:00
200,500554,2019-09-27 11:42:00
201,676551,2019-09-27 11:42:00
202,636222,2019-09-27 11:42:00
203,636485,2019-10-28 17:34:00
204,510330,2019-10-28 17:34:00
205,546976,2019-09-27 11:42:00
206,512049,2019-09-27 11:42:00
207,509064,2019-11-02 15:39:00
208,440323,2019-09-25 12:50:00
209,440345,2019-11-02 15:39:00
210,683666,2019-11-02 15:39:00
211,540916,2019-09-27 11:42:00
212,627043,2019-09-27 11:42:00
213,590734,2019-09-27 18:12:00
214,588463,2019-09-27 11:42:00
215,455289,2019-11-02 15:39:00
216,284393,2019-11-02 15:39:00
217,638693,2019-09-27 11:42:00
218,637488,2019-11-02 15:39:00
219,452622,2019-09-27 11:42:00
220,510412,2019-09-25 12:50:00
221,456572,2019-11-02 15:39:00
222,453733,2019-09-27 11:42:00
223,630488,2019-10-28 17:34:00
224,628318,2019-10-28 17:34:00
225,615383,2019-09-27 11:42:00
226,382137,2019-09-27 11:42:00
227,673641,2019-10-28 17:34:00
228,673163,2019-09-25 12:50:00
229,465947,2019-09-25 12:50:00
230,383246,2019-09-27 11:42:00
231,648299,2019-09-25 12:50:00
232,545713,2019-11-02 15:39:00
233,608566,2019-09-27 18:12:00
234,609745,2019-09-25 12:50:00
235,599392,2019-09-27 18:12:00
236,259095,2019-09-27 11:42:00
237,483655,2019-09-27 18:12:00
238,412023,2019-09-27 18:12:00
239,493472,2019-10-28 17:34:00
240,493901,2019-09-27 11:42:00
241,577391,2019-09-27 11:42:00
242,474254,2019-10-28 17:34:00
243,578298,2019-09-25 12:50:00
244,570416,2019-11-02 15:39:00
245,506230,2019-11-02 15:39:00
246,378336,2019-11-02 15:39:00
247,378495,2019-09-27 11:42:00
248,353919,2019-09-27 18:12:00
249,379308,2019-09-25 12:50:00
250,242163,2019-09-27 11:42:00
251,588493,2019-09-27 11:42:00
252,505113,2019-09-27 18:12:00
253,504412,2019-11-02 15:39:00
254,504331,2019-10-28 17:34:00
255,487691,2019-09-27 18:12:00
256,525547,2019-09-27 18:12:00
257,448987,2019-10-28 17:34:00
258,450869,2019-11-02 15:39:00
259,449360,2019-10-28 17:34:00
260,426153,2019-09-27 18:12:00
261,416528,2019-11-02 15:39:00
262,419999,2019-10-28 17:34:00
263,481828,2019-09-27 18:12:00
264,471875,2019-09-25 12:50:00
265,471904,2019-09-27 11:42:00
266,490089,2019-10-28 17:34:00
267,490052,2019-09-27 11:42:00
268,498753,2019-09-27 18:12:00
269,257144,2019-09-25 12:50:00
270,553347,2019-10-28 17:34:00
271,554991,2019-09-27 11:42:00
272,457813,2019-09-25 12:50:00
273,276394,2019-09-25 12:50:00
274,498927,2019-09-27 18:12:00
275,518695,2019-09-27 11:42:00
276,518638,2019-09-25 12:50:00
277,561078,2019-10-28 17:34:00
278,698824,2019-09-25 12:50:00
279,667729,2019-09-27 18:12:00
280,296633,2019-09-27 18:12:00
281,294672,2019-09-27 11:42:00
282,651244,2019-09-27 18:12:00
283,487116,2019-09-27 11:42:00
284,484289,2019-09-27 18:12:00
285,648287,2019-09-27 11:42:00
286,485478,2019-09-27 11:42:00
287,574879,2019-09-27 18:12:00
288,634998,2019-10-28 17:34:00
289,380047,2019-09-25 12:50:00
290,331007,2019-09-27 11:42:00
291,524829,2019-09-27 11:42:00
292,587711,2019-09-25 12:50:00
293,313326,2019-10-28 17:34:00
294,514570,2019-10-28 17:34:00
295,346460,2019-10-28 17:34:00
296,661106,2019-09-27 11:42:00
297,344335,2019-09-27 18:12:00
298,564359,2019-10-28 17:34:00
299,566593,2019-11-02 15:39:00
300,541780,2019-11-02 15:39:00
301,569016,2019-10-28 17:34:00
302,569284,2019-09-27 18:12:00
303,572168,2019-11-02 15:39:00
304,482647,2019-11-02 15:39:00
305,620111,2019-09-25 12:50:00
306,620976,2019-09-27 18:12:00
307,689960,2019-09-27 18:12:00
308,512147,2019-09-27 11:42:00
309,584153,2019-09-27 11:42:00
310,522581,2019-10-28 17:34:00
311,520513,2019-09-25 12:50:00
312,667129,2019-11-02 15:39:00
313,495070,2019-09-27 11:42:00
314,545057,2019-09-27 18:12:00
315,635083,2019-09-27 11:42:00
316,305387,2019-09-27 11:42:00
317,533987,2019-11-02 15:39:00
318,534585,2019-10-28 17:34:00
319,553421,2019-10-28 17:34:00
320,535152,2019-11-02 15:39:00
321,536030,2019-10-28 17:34:00
322,545360,2019-11-02 15:39:00
323,590690,2019-09-27 18:12:00
324,513609,2019-10-28 17:34:00
325,513727,2019-09-25 12:50:00
326,324039,2019-11-02 15:39:00
