00430832;1;CRUZEIRO DO SUL/AC;CRUZEIRO DO SUL/AC;Rodoviario;KBR5133;AC;09/10/2019 11:00
00432366;1;RIO BRANCO/AC;RIO BRANCO/AC;Rodoviario;MZN8429;AC;09/10/2019 11:00
00486613;1;RIO BRANCO/AC;RIO BRANCO/AC;Rodoviario;MZP9919;AC;09/10/2019 11:00
00484373;1;BUJARI/AC;RIO BRANCO/AC;Rodoviario;MBG0672;AC;09/10/2019 11:00
00431519;1;PORTO ACRE/AC;DUQUE DE CAXIAS/RJ;Rodoviario;NCB6440;AC;09/10/2019 11:00
00602809;1;XAPURI/AC;CAPIXABA/AC;Rodoviario;NBM3586;AC;09/10/2019 11:00
00270381;1;SENA MADUREIRA/AC;RIO BRANCO/AC;Rodoviario;ARP2318;AC;09/10/2019 11:00
00483604;1;BUJARI/AC;RIO BRANCO/AC;Rodoviario;LWZ7566;AC;09/10/2019 11:00
00553417;1;BUJARI/AC;RIO BRANCO/AC;Rodoviario;JZA6711;AC;09/10/2019 11:00
00501066;1;BUJARI/AC;RIO BRANCO/AC;Rodoviario;JYL8064;AC;09/10/2019 11:00
00498665;1;SENA MADUREIRA/AC;RIO BRANCO/AC;Rodoviario;MEB5991;AC;09/10/2019 11:00
00270359;1;ACRELANDIA/AC;ROLIM DE MOURA/RO;Rodoviario;LXG2888;AC;09/10/2019 11:00
00501013;1;RIO BRANCO/AC;ACRELANDIA/AC;Rodoviario;LXX7650;AC;09/10/2019 11:00
00520611;1;BUJARI/AC;CAPIXABA/AC;Rodoviario;NDA3430;AC;09/10/2019 11:00
00592696;1;XAPURI/AC;XAPURI/AC;Ferroviaria;BUJ0962;AC;09/10/2019 11:00
00533986;1;SENA MADUREIRA/AC;RIO BRANCO/AC;Rodoviario;NBY5354;AC;09/10/2019 11:00
00466830;1;PORTO ACRE/AC;PORTO ACRE/AC;Rodoviario;NBD9800;AC;09/10/2019 11:00
00467952;1;CRUZEIRO DO SUL/AC;CRUZEIRO DO SUL/AC;Rodoviario;NBM3728;AC;09/10/2019 11:00
