WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;09/01/2007;2007;Enterolobium contortisiliquum;Orelhademacaco;Tora;2,962;M3;Madeira serrada (tábua);1,481;M3;2,0;Cavacos;0,749;M3;0,402;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;11/01/2007;2007;Ficus insipida;Figueira;Tora;12,631;M3;Madeira serrada (tábua);6,315;M3;2,0002;Cavacos;3,816;M3;2,5;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Pouteria  spp.;Abiu;Tora;5,0;M3;Madeira serrada (caibro);2,5;M3;2,0;;;;2,5;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Protium paliidum;Breu;Tora;7,117;M3;Madeira serrada (viga);3,558;M3;2,0003;Caibrinhos;0,5;M3;2,559;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Protium paliidum;Breu;Tora;7,117;M3;Madeira serrada (viga);3,558;M3;2,0003;Ripas;0,3;M3;2,559;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Protium paliidum;Breu;Tora;7,117;M3;Madeira serrada (viga);3,558;M3;2,0003;Sarrafo;0,2;M3;2,559;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Copaifera langsdorffii;Copaíba;Tora;8,1;M3;Madeira serrada (tábua);4,05;M3;2,0;;;;4,05;21/11/2019 10:00
INDECOMDEMADGARÇABRANCALTDA;84.314.590/0001-17;22769;AC;ACRELANDIA;PATIO;MGB1;-10,066889;-67,034722;LO-474/2012;INSTITUTO DE MEIO AMBIENTE DO ACRE;08/10/2012;08/10/2016;15/01/2007;2007;Tabebuia serratifolia;Ipê;Tora;39,13;M3;Madeira serrada (tábua);19,565;M3;2,0;Caibrinhos;7,065;M3;12,5;21/11/2019 10:00
OUROBRANCOMADEIRASIMPEEXPLTDA;00.525.034/0001-08;25951;AC;CAPIXABA;PATIO;PATIO DA SERRARIA;-10,520556;-67,663056;LO-303/2016;INSTITUTO DE MEIO AMBIENTE DO ACRE;04/11/2016;04/11/2020;18/01/2007;2007;Amburana acreana;Cerejeira;Tora;48,255;M3;Madeira serrada (tábua);24,127;M3;2,0;;;;24,128;21/11/2019 10:00
LAMINADOSCATEDRALLTDA;05.006.407/0001-40;201336;AC;RIO BRANCO;PATIO;LAMINADOS CATEDRAL;-9,8955;-67,810361;LO Nº 48/2015;INSTITUTO DE MEIO AMBIENTE DO ACRE;10/02/2015;10/02/2019;18/01/2007;2007;Piptadenia foliolosa;Angicobranco;Tora;31,272;M3;Lâmina Desenrolada;15,636;M3;2,0;Rolete;7,192;M3;8,444;21/11/2019 10:00
MADEREIRASÃOCRISTÓVÃOIMPEEXPLTDA;34.703.256/0001-87;10740;AC;RIO BRANCO;PATIO;SAO CRISTOVAO;-9,869333;-67,769833;LO-118/2015;INSTITUTO DE MEIO AMBIENTE DO ACRE;07/05/2015;07/05/2019;20/01/2007;2007;Dipteryx odorata;Cumaruferro;Tora;20,0;M3;Madeira serrada (viga);10,0;M3;2,0;Caibrinhos;4,56;M3;2,88;21/11/2019 10:00
MADEREIRASÃOCRISTÓVÃOIMPEEXPLTDA;34.703.256/0001-87;10740;AC;RIO BRANCO;PATIO;SAO CRISTOVAO;-9,869333;-67,769833;LO-118/2015;INSTITUTO DE MEIO AMBIENTE DO ACRE;07/05/2015;07/05/2019;20/01/2007;2007;Dipteryx odorata;Cumaruferro;Tora;20,0;M3;Madeira serrada (viga);10,0;M3;2,0;Ripas;2,56;M3;2,88;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;31/01/2007;2007;Calycophyllum spruceanum;Mulateiro;Tora;24,179;M3;Madeira serrada (tábua);12,089;M3;2,0001;Ripas;2,747;M3;2,709;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;31/01/2007;2007;Calycophyllum spruceanum;Mulateiro;Tora;24,179;M3;Madeira serrada (tábua);12,089;M3;2,0001;Cavacos;6,634;M3;2,709;21/11/2019 10:00
SMINDUSTRIALDEMADEIREIRALTDAME;07.723.402/0001-63;960705;AC;SENA MADUREIRA;PATIO;SM INDUSTRIAL DE MADEIREIRA LTDA;-9,063056;-68,676667;;;;;06/02/2007;2007;Hura crepitans;Açacu;Tora;60,0;M3;Lâmina Desenrolada;30,0;M3;2,0;;;;30,0;21/11/2019 10:00
